,precision,recall,f1-score,support,run_name,checkpoint
formidable_(azur_lane),0.7142857142857143,0.8333333333333334,0.7692307692307693,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
fubuki_(one-punch_man),0.7058823529411765,0.9230769230769231,0.8,13.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
fujibayashi_kyou,0.6428571428571429,0.75,0.6923076923076923,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
fujiwara_chika,0.8181818181818182,0.75,0.782608695652174,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
furukawa_nagisa,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
gawr_gura,0.8181818181818182,0.75,0.782608695652174,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
gilgamesh,0.5294117647058824,0.75,0.6206896551724138,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
giorno_giovanna,0.8461538461538461,0.9166666666666666,0.88,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
hanekawa_tsubasa,0.9,0.6923076923076923,0.782608695652174,13.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
hatsune_miku,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
hayasaka_ai,0.6,1.0,0.75,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
hirasawa_yui,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
hyuuga_hinata,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
ichigo_(darling_in_the_franxx),0.9230769230769231,1.0,0.96,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
illyasviel_von_einzbern,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
irisviel_von_einzbern,0.6875,0.8461538461538461,0.7586206896551724,13.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
ishtar_(fate_grand_order),0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
isshiki_iroha,0.7272727272727273,0.6153846153846154,0.6666666666666666,13.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
jonathan_joestar,0.6875,1.0,0.8148148148148148,11.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
kamado_nezuko,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
kaname_madoka,0.4444444444444444,0.3333333333333333,0.38095238095238093,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
kanbaru_suruga,0.8461538461538461,0.9166666666666666,0.88,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
karin_(blue_archive),0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
karna_(fate),0.8571428571428571,1.0,0.9230769230769231,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
katsuragi_misato,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
keqing_(genshin_impact),0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
kirito,0.8181818181818182,0.75,0.782608695652174,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
kiryu_coco,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
kizuna_ai,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
kochou_shinobu,1.0,0.5,0.6666666666666666,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
komi_shouko,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
laffey_(azur_lane),0.8571428571428571,1.0,0.9230769230769231,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
lancer,1.0,0.75,0.8571428571428571,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
makise_kurisu,0.5714285714285714,0.6666666666666666,0.6153846153846154,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
mash_kyrielight,0.8,0.6666666666666666,0.7272727272727273,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
matou_sakura,0.6,0.5,0.5454545454545454,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
megumin,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
mei_(pokemon),0.8461538461538461,0.9166666666666666,0.88,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
meltlilith,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
minato_aqua,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
misaka_mikoto,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
miyazono_kawori,0.75,0.5,0.6,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
mori_calliope,0.6428571428571429,0.75,0.6923076923076923,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
nagato_yuki,1.0,0.5,0.6666666666666666,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
nakano_azusa,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
nakano_itsuki,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
nakano_miku,0.631578947368421,1.0,0.7741935483870968,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
nakano_nino,0.75,1.0,0.8571428571428571,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
nakano_yotsuba,0.7692307692307693,0.8333333333333334,0.8,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
nami_(one_piece),0.6666666666666666,0.8333333333333334,0.7407407407407407,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
nekomata_okayu,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
nico_robin,0.75,0.5,0.6,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
ninomae_ina'nis,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
nishikino_maki,0.8461538461538461,0.9166666666666666,0.88,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
okita_souji_(fate),0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
