,precision,recall,f1-score,support,run_name,checkpoint
isshiki_iroha,0.4166666666666667,0.7692307692307693,0.5405405405405406,13.0,baseline,checkpoints/resnet34_baseline_optuna.pth
jonathan_joestar,0.35714285714285715,0.45454545454545453,0.4,11.0,baseline,checkpoints/resnet34_baseline_optuna.pth
kamado_nezuko,0.7142857142857143,0.8333333333333334,0.7692307692307693,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
kaname_madoka,0.0,0.0,0.0,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
kanbaru_suruga,1.0,0.25,0.4,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
karin_(blue_archive),0.47368421052631576,0.75,0.5806451612903226,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
karna_(fate),0.5789473684210527,0.9166666666666666,0.7096774193548387,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
katsuragi_misato,0.5,0.25,0.3333333333333333,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
keqing_(genshin_impact),0.875,0.5833333333333334,0.7,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
kirito,0.2962962962962963,0.6666666666666666,0.41025641025641024,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
kiryu_coco,0.8,0.6666666666666666,0.7272727272727273,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
kizuna_ai,0.6666666666666666,0.5,0.5714285714285714,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
kochou_shinobu,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
komi_shouko,0.25,0.16666666666666666,0.2,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
laffey_(azur_lane),0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
lancer,0.3684210526315789,0.5833333333333334,0.45161290322580644,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
makise_kurisu,0.5454545454545454,0.5,0.5217391304347826,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
mash_kyrielight,0.5,0.5,0.5,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
matou_sakura,0.2,0.16666666666666666,0.18181818181818182,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
megumin,1.0,0.16666666666666666,0.2857142857142857,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
mei_(pokemon),0.8,0.6666666666666666,0.7272727272727273,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
meltlilith,0.3888888888888889,0.5833333333333334,0.4666666666666667,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
minato_aqua,0.6666666666666666,0.8333333333333334,0.7407407407407407,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
misaka_mikoto,0.4,0.16666666666666666,0.23529411764705882,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
miyazono_kawori,0.4166666666666667,0.4166666666666667,0.4166666666666667,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
mori_calliope,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
nagato_yuki,0.0,0.0,0.0,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
