,precision,recall,f1-score,support,run_name,checkpoint
toosaka_rin,0.3333333333333333,0.5,0.4,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
toujou_nozomi,0.6,0.75,0.6666666666666666,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
tsushima_yoshiko,0.7,0.5833333333333334,0.6363636363636364,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
unicorn_(azur_lane),0.8,0.6666666666666666,0.7272727272727273,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
usada_pekora,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
utsumi_erise,0.75,0.6923076923076923,0.72,13.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
watson_amelia,0.5714285714285714,0.6666666666666666,0.6153846153846154,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
waver_velvet,0.45454545454545453,0.4166666666666667,0.43478260869565216,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
xenovia_(high_school_dxd),0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
yui_(angel_beats!),0.6666666666666666,1.0,0.8,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
yuigahama_yui,0.42857142857142855,0.25,0.3157894736842105,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
yukinoshita_yukino,0.5294117647058824,0.75,0.6206896551724138,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
zero_two_(darling_in_the_franxx),0.8181818181818182,0.75,0.782608695652174,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
accuracy,0.6182864450127877,0.6182864450127877,0.6182864450127877,0.6182864450127877,baseline_frozen,checkpoints/resnet34_frozen_best.pth
macro avg,0.6362221759545528,0.6181997489689798,0.6153284588662868,1564.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
weighted avg,0.6362923120324065,0.6182864450127877,0.6154175156029983,1564.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
